n,bits,max_v2,fnv1a64,decimal_digits,elapsed_s
250000,235224,17,03d5d5032e47181a,70810,2.0
500000,470601,17,73a9bdf5931feee1,141665,4.4
750000,706036,17,59a48ee79438a13d,212538,7.2
1000000,941419,17,a413d7d155b89394,283396,9.9
1250000,1176880,21,6b769bba74ea8909,354277,12.7
1500000,1412376,21,945241083f0ead10,425168,15.6
1750000,1647980,21,5ebba2f42d81ba27,496092,18.4
2000000,1883449,24,b810a41a934f0a65,566975,21.3
2250000,2119017,24,912f417e31b6f4ab,637888,24.2
2500000,2354150,24,2ccc1db3c435d4a8,708670,27.3
2750000,2589122,24,c29c1b22506b0712,779404,30.3
3000000,2824485,24,81c512f5d2a6dbc7,850255,33.5
3250000,3059825,24,8f15235593a8d6b9,921100,36.7
3500000,3295177,24,f1b0e0df314362c6,991948,40.0
3750000,3530802,24,d3ee57c2fc44f6d3,1062878,43.1
4000000,3766120,24,33cde90bdf1c9463,1133715,46.3
4250000,4001708,24,32871952c247ad71,1204634,49.6
4500000,4236757,24,8004f89cc689cbc0,1275391,53.0
4750000,4472440,24,07778a2b56dfe934,1346339,56.5
5000000,4708010,24,be3f36ebd4e651b7,1417253,60.0
5250000,4943349,24,44382d330502453e,1488097,63.5
5500000,5178622,24,7e054bceb143d733,1558921,67.0
5750000,5413902,24,4c69564efa40f045,1629747,70.6
6000000,5649381,24,f4d0e8d92b497975,1700633,74.3
6250000,5884883,24,f816576708effa34,1771527,77.7
6500000,6120115,24,697e2cb8ad8c090c,1842339,81.4
6750000,6355505,24,1cc95dadb57c9492,1913198,85.0
7000000,6590899,24,9e8a099b1c7a8cdf,1984059,88.8
7250000,6826093,24,578c46db118677ba,2054859,92.5
7500000,7061338,24,63364a35ccaf4bf0,2125675,96.1
7750000,7296718,24,a77597567c6a7076,2196531,99.9
8000000,7531866,24,dc600fb84a1da060,2267318,103.6
8250000,7767239,24,502311a66a91abfe,2338172,107.4
8500000,8002704,24,8bf861cedc370c18,2409054,111.3
8750000,8238383,24,7b016fcc61e81ad6,2480001,115.2
9000000,8473589,24,3b79af706f8793fe,2550805,119.3
9250000,8709066,24,537f46fa481bc807,2621690,123.5
9500000,8944345,24,715dafebbdaf4e64,2692516,128.0
9750000,9179634,24,9c22f7ea176e5a98,2763346,132.6
10000000,9415003,24,dc4e80bd9c633888,2834199,137.2
10250000,9650386,24,289acffc1ffaeb0b,2905056,141.8
10500000,9885312,24,da965260ecb24ff9,2975776,146.2
10750000,10120436,24,a91b4dfd2f17098f,3046555,150.8
11000000,10355708,24,56d016dc9d10789d,3117379,155.4
11250000,10591259,24,483fbe7631b62a67,3188287,159.9
11500000,10826215,24,a9aaff9929b9ec8c,3259016,164.7
11750000,11061765,24,53fd428b6ef04800,3329923,169.3
12000000,11297212,24,a32808631b1c50f2,3400800,174.1
12250000,11532570,24,94229a25553ca167,3471650,178.9
12500000,11768030,24,30c1d1b9808728c1,3542530,183.7
12750000,12003565,24,7c89b4c812c07373,3613433,188.5
13000000,12238963,24,71f892ab76a8bccd,3684295,193.2
13250000,12474746,24,e54ead1dd577e2dc,3755273,197.1
13500000,12709840,24,4faa1805e325793f,3826044,201.0
13750000,12945104,24,409bfe24f90639f7,3896865,204.8
14000000,13180637,24,6d4f1e67a7afd988,3967767,208.7
14250000,13416068,24,30a5360cd986fed1,4038639,212.5
14500000,13651159,24,1a319777d18fd740,4109409,216.3
14750000,13886352,24,c8ac2412edc065b1,4180209,220.2
15000000,14121753,24,4e83c31fb28fc297,4251072,224.1
15250000,14356960,24,3901c595107fb629,4321876,228.0
15500000,14592117,24,b8ab708b90900eb7,4392665,231.9
15750000,14827342,24,89182d7a48ac7c2f,4463475,235.8
16000000,15062819,24,53326c8c75606939,4534361,239.7
16250000,15298080,24,f3df1d3702bbfbe1,4605181,243.7
16500000,15533280,24,84d8d8f0fdd0ee0e,4675983,247.6
16750000,15768833,24,001a5c8765ced47c,4746892,251.6
17000000,16003804,24,d8fd2b743d156161,4817626,255.9
17250000,16238884,24,d64e30753c738b25,4888391,260.5
17500000,16474482,24,b29eb0899b1b77db,4959314,265.0
17750000,16709811,24,d133cf5f1271c5ca,5030155,267.6
18000000,16944925,24,d0ea936f84c188c9,5100931,270.2
18250000,17180337,24,b7655199774e9dee,5171797,272.8
18500000,17415780,24,85ff91201c09d6fa,5242673,275.4
18750000,17650808,24,867da5be8a9e183a,5313423,277.8
19000000,17885820,24,102b4b27f55805c1,5384169,280.3
19250000,18120858,24,40307d16e057cc40,5454922,283.0
19500000,18355851,24,f88c274194220310,5525662,285.6
19750000,18591183,24,a333408a8e7be624,5596504,288.1
20000000,18826755,24,1205266ab51477b6,5667418,290.7
20250000,19062163,24,35487c5922096bb7,5738283,293.1
20500000,19297471,24,b9dc6600850758a1,5809118,295.6
20750000,19532892,24,f0d77aa06cc99bdc,5879987,298.3
21000000,19768221,24,045eca3faab93b53,5950828,301.0
21250000,20003764,24,354265557c2a4860,6021733,303.7
21500000,20239068,24,3fec4b86a199b8a0,6092567,306.3
21750000,20474092,24,f733ef48b5fa99da,6163316,308.8
22000000,20709221,24,50237a45a0441391,6234097,311.4
22250000,20944752,24,db025de8aff1365a,6304999,314.2
22500000,21179708,24,d50e9e862f4c7fc5,6375728,316.9
22750000,21415317,24,b8708cc3b0c19577,6446653,319.8
23000000,21650711,24,e9d4f845ba246eb1,6517514,322.5
23250000,21885808,25,00f1dc201ed33796,6588285,325.0
23500000,22121062,25,b060366296e0414a,6659104,327.6
23750000,22356344,25,195e220e57a08001,6729930,330.2
24000000,22591538,25,5c3dc09c68f98070,6800731,332.7
24250000,22826767,25,6af4cb803cecc2b9,6871542,335.3
24500000,23062233,25,e1706fefb653e9e8,6942424,338.0
24750000,23297449,25,75980c2a454d446d,7013231,340.5
25000000,23532453,25,3bf7f7e5c7089074,7083975,343.0
25250000,23767766,25,f5519f903c7c765e,7154811,345.6
25500000,24003210,25,b7793ebb01aae66c,7225687,348.2
25750000,24238602,25,ad4dd8cac828d7da,7296547,351.0
26000000,24473937,25,4dc17b1f6f2ed92c,7367390,354.0
26250000,24709090,25,77c33b94a1697af2,7438177,356.6
26500000,24944424,25,44733575636f92b2,7509020,359.3
26750000,25179903,25,8f73c59d33f75c37,7579906,362.2
27000000,25415352,25,52e05b3594c1cddc,7650784,364.9
27250000,25650559,25,60e0722868ca1efa,7721588,367.5
27500000,25886310,25,530d2a59ef53965e,7792556,370.2
27750000,26121414,25,9539db281b57549a,7863329,372.8
28000000,26356719,25,c0442849d6134ec8,7934163,375.6
28250000,26592008,25,91e917ad750e68cd,8004993,378.8
28500000,26827306,25,27996fc504f974cd,8075824,381.6
28750000,27062944,25,df0590d27e26731d,8146758,384.4
29000000,27297824,25,592d3e1ffc306b1e,8217464,387.2
29250000,27532700,25,6272ca2adc57f914,8288169,390.0
29500000,27767801,25,cd4dda30a53e010f,8358941,392.8
29750000,28003209,25,e45c4383bbd22043,8429806,395.6
30000000,28238455,25,c8a4e5a39a791c4d,8500622,398.4
30250000,28473637,25,8cb8bd03535883c1,8571419,401.1
30500000,28709008,25,f4dce13d8ed25fe3,8642273,403.9
30750000,28944239,25,e9958901a82682e5,8713084,407.1
31000000,29179431,25,92d7ef76dd1da468,8783884,409.8
31250000,29414905,25,bb9f040fc9fc5a33,8854769,412.5
31500000,29650149,25,9f1900617dadc13b,8925584,415.3
31750000,29885417,25,ef28dc512bd15f9a,8996407,418.0
32000000,30120535,25,934d120d27e11230,9067185,420.8
32250000,30355985,25,ca32354f9fcbdd66,9138063,424.0
32500000,30591604,25,51b6e5d7b6b9efaf,9208991,426.7
32750000,30826834,25,ae20dc3583d8b5cc,9279802,429.4
33000000,31062454,25,850d88e6dca1e34e,9350731,432.2
33250000,31297877,25,ef7abee555359ce9,9421600,435.0
33500000,31532975,25,e1c6d01eb8ee83e9,9492372,437.8
33750000,31768481,25,d90a9da7f0df9b01,9563266,440.8
34000000,32003828,25,d0628ed657f29291,9634112,444.0
34250000,32239180,25,331237cf178d504a,9704961,446.9
34500000,32474722,25,79ed6dfaed982f50,9775866,449.7
34750000,32709815,25,b4ba21c76d8ca706,9846636,452.3
35000000,32945318,25,787651fb2604b6cb,9917529,455.1
35250000,33180250,25,c1989ef1f02ca616,9988251,457.8
35500000,33415720,25,ea182a4cb5fb54d8,10059134,460.8
35750000,33650800,25,e4f151e7b0eaa6e7,10129901,463.9
36000000,33885725,25,d1bd8ea56d4aec40,10200620,466.7
36250000,34121199,25,5104c31cb23d5a17,10271505,469.5
36500000,34356619,25,59a5fb50e473438c,10342373,472.4
36750000,34591654,25,0139043e15ff46c0,10413126,475.2
37000000,34827373,25,7c61e62c03aafc03,10484084,478.0
37250000,35062442,25,6c1b21452fea8f69,10554847,480.9
37500000,35297797,25,ab24c15cda1892d6,10625696,483.6
37750000,35533247,25,46db5200f3d7bf66,10696573,486.5
38000000,35768398,25,a37658c6c9862575,10767361,489.5
38250000,36003836,25,25df855985242b81,10838235,492.4
38500000,36239487,25,79bbfa7b43e917c7,10909173,495.1
38750000,36474679,25,b34dd188afa6bb14,10979973,498.3
39000000,36709778,25,bc1256bb52b600bb,11050745,501.4
39250000,36944962,25,aca8da3e737580ab,11121542,503.9
39500000,37180199,25,655fa8c0f7a5559f,11192355,506.5
39750000,37415248,25,7645c1469fbe0ee3,11263112,509.0
40000000,37650009,25,98f845397110d3ff,11333782,511.6
40250000,37885126,25,cc4a8297f98c73b2,11404560,514.2
40500000,38120550,25,c5dbc75994894ebd,11475429,516.7
40750000,38355845,25,866a556b7ca7baac,11546260,519.6
41000000,38591304,25,7efe6f7d5fce96a4,11617140,522.6
41250000,38826570,25,39bdd91cb20bbe94,11687963,525.6
41500000,39061830,25,5fe55d6750369927,11758783,528.7
41750000,39297279,25,70fa548112cbf2e2,11829660,531.7
42000000,39532523,25,4b80698e23f7576f,11900475,534.8
42250000,39767973,25,46b712065ea06a4e,11971353,537.7
42500000,40003317,25,97ec3ad26a6418dc,12042199,540.7
42750000,40238724,25,71d120c29fdf715a,12113063,543.8
43000000,40474141,25,9a3e9bdb73ee2a0c,12183931,546.8
43250000,40709238,25,d51bc1cb7af25cce,12254702,549.7
43500000,40944638,25,122ef8dc40128a01,12325565,552.6
43750000,41180140,25,fc742132110bee39,12396458,555.6
44000000,41415342,25,43e93402033dc6e3,12467261,558.6
44250000,41650455,25,3ad8e87312c8b95a,12538037,561.6
44500000,41885738,25,60a0abec3aabe928,12608864,564.5
44750000,42120951,25,8617ff75fc95ca74,12679670,567.5
45000000,42356602,25,7087647fefaadba5,12750608,570.6
45250000,42591804,25,0cd72873d42b9d7b,12821411,573.6
45500000,42827133,25,da68d9f02f179a28,12892252,576.7
45750000,43062337,25,05d12ba9f648cb6f,12963055,579.6
46000000,43297815,25,b4149866ae1c8bdd,13033941,582.7
46250000,43533216,25,40e4eceb1a8451b4,13104804,585.6
46500000,43768421,25,f4d65655b132bce2,13175608,588.6
46750000,44003829,25,ec637b74bbf0e23a,13246473,591.8
47000000,44239119,25,c5c5d8d0fbf7813f,13317302,594.8
47250000,44474420,25,62b88b1c944566df,13388135,597.9
47500000,44709721,25,89a9799a45e89059,13458968,601.0
47750000,44945409,25,8a0559b98eaa3296,13529917,604.1
