v,count,expected_geometric
0,50011040,50000000.000
1,24997675,25000000.000
2,12495339,12500000.000
3,6248781,6250000.000
4,3125043,3125000.000
5,1561221,1562500.000
6,781107,781250.000
7,390691,390625.000
8,193983,195312.500
9,97869,97656.250
10,48493,48828.125
11,24425,24414.062
12,12164,12207.031
13,6063,6103.516
14,3027,3051.758
15,1532,1525.879
16,781,762.939
17,387,381.470
18,175,190.735
19,101,95.367
20,39,47.684
21,25,23.842
22,19,11.921
23,10,5.960
24,6,2.980
25,4,1.490
26,0,0.745
27,0,0.373
28,0,0.186
29,0,0.093
30,0,0.047
31,0,0.023
32,0,0.012
33,0,0.006
34,0,0.003
35,0,0.001
36,0,0.001
37,0,0.000
38,0,0.000
39,0,0.000
40,0,0.000
41,0,0.000
42,0,0.000
43,0,0.000
44,0,0.000
45,0,0.000
46,0,0.000
47,0,0.000
48,0,0.000
49,0,0.000
50,0,0.000
51,0,0.000
52,0,0.000
53,0,0.000
54,0,0.000
55,0,0.000
56,0,0.000
57,0,0.000
58,0,0.000
59,0,0.000
60,0,0.000
61,0,0.000
62,0,0.000
63,0,0.000
64plus,0,0.000
