# term,bits,digits,max_v2,h0_8,h9_16,h17_24,h25_40,fnv64,elapsed_s
250000,235224,70810,17,249508,490,2,0,03d5d5032e47181a,0
500000,470601,141666,17,499015,983,2,0,73a9bdf5931feee1,3
750000,706036,212539,17,748552,1444,4,0,59a48ee79438a13d,7
1000000,941419,283396,17,998057,1935,8,0,a413d7d155b89394,14
1250000,1176880,354277,21,1247544,2442,14,0,6b769bba74ea8909,22
1500000,1412376,425168,21,1497037,2947,16,0,945241083f0ead10,32
1750000,1647980,496092,21,1746544,3440,16,0,5ebba2f42d81ba27,45
2000000,1883449,566975,24,1996053,3930,17,0,b810a41a934f0a65,59
2250000,2119017,637888,24,2245561,4421,18,0,912f417e31b6f4ab,75
2500000,2354150,708670,24,2495044,4936,20,0,2ccc1db3c435d4a8,93
2750000,2589122,779404,24,2744513,5463,24,0,c29c1b22506b0712,112
3000000,2824485,850255,24,2993968,6006,26,0,81c512f5d2a6dbc7,134
3250000,3059825,921100,24,3243464,6509,27,0,8f15235593a8d6b9,159
3500000,3295177,991948,24,3492994,6978,28,0,f1b0e0df314362c6,187
3750000,3530802,1062878,24,3742557,7413,30,0,d3ee57c2fc44f6d3,216
4000000,3766120,1133716,24,3992054,7914,32,0,33cde90bdf1c9463,248
4250000,4001708,1204635,24,4241573,8391,36,0,32871952c247ad71,283
4500000,4236757,1275391,24,4491037,8925,38,0,8004f89cc689cbc0,321
4750000,4472440,1346339,24,4740530,9431,39,0,07778a2b56dfe934,358
5000000,4708010,1417253,24,4990056,9903,41,0,be3f36ebd4e651b7,398
5250000,4943349,1488097,24,5239580,10375,45,0,44382d330502453e,443
5500000,5178622,1558921,24,5489075,10876,49,0,7e054bceb143d733,491
5750000,5413902,1629747,24,5738565,11385,50,0,4c69564efa40f045,547
6000000,5649381,1700634,24,5988056,11892,52,0,f4d0e8d92b497975,600
6250000,5884883,1771527,24,6237639,12308,53,0,f816576708effa34,653
6500000,6120115,1842339,24,6487150,12796,54,0,697e2cb8ad8c090c,703
6750000,6355505,1913198,24,6736679,13265,56,0,1cc95dadb57c9492,765
7000000,6590899,1984059,24,6986230,13712,58,0,9e8a099b1c7a8cdf,828
7250000,6826093,2054859,24,7235726,14215,59,0,578c46db118677ba,892
7500000,7061338,2125675,24,7485223,14716,61,0,63364a35ccaf4bf0,955
7750000,7296718,2196531,24,7734742,15195,63,0,a77597567c6a7076,1020
8000000,7531866,2267318,24,7984202,15735,63,0,dc600fb84a1da060,1088
8250000,7767239,2338172,24,8233722,16211,67,0,502311a66a91abfe,1158
8500000,8002704,2409054,24,8483264,16666,70,0,8bf861cedc370c18,1230
8750000,8238383,2480001,24,8732805,17122,73,0,7b016fcc61e81ad6,1304
9000000,8473589,2550805,24,8982301,17626,73,0,3b79af706f8793fe,1411
9250000,8709066,2621691,24,9231823,18103,74,0,537f46fa481bc807,1548
9500000,8944345,2692517,24,9481382,18543,75,0,715dafebbdaf4e64,1690
9750000,9179634,2763346,24,9730903,19020,77,0,9c22f7ea176e5a98,1833
10000000,9415003,2834199,24,9980409,19513,78,0,dc4e80bd9c633888,1981
10250000,9650386,2905056,24,10229928,19994,78,0,289acffc1ffaeb0b,2132
10500000,9885312,2975776,24,10479409,20510,81,0,da965260ecb24ff9,2289
10750000,10120436,3046555,24,10728900,21018,82,0,a91b4dfd2f17098f,2448
11000000,10355708,3117379,24,10978382,21532,86,0,56d016dc9d10789d,2611
11250000,10591259,3188287,24,11227911,21999,90,0,483fbe7631b62a67,2783
11500000,10826215,3259016,24,11477431,22478,91,0,a9aaff9929b9ec8c,2965
11750000,11061765,3329924,24,11726976,22932,92,0,53fd428b6ef04800,3145
12000000,11297212,3400800,24,11976503,23405,92,0,a32808631b1c50f2,3326
12250000,11532570,3471650,24,12226005,23903,92,0,94229a25553ca167,3512
12500000,11768030,3542531,24,12475496,24410,94,0,30c1d1b9808728c1,3701
12750000,12003565,3613434,24,12725033,24872,95,0,7c89b4c812c07373,3893
13000000,12238963,3684295,24,12974548,25357,95,0,71f892ab76a8bccd,4087
13250000,12474746,3755273,24,13224058,25846,96,0,e54ead1dd577e2dc,4286
13500000,12709840,3826044,24,13473563,26340,97,0,4faa1805e325793f,4490
13750000,12945104,3896865,24,13723051,26851,98,0,409bfe24f90639f7,4707
14000000,13180637,3967768,24,13972532,27367,101,0,6d4f1e67a7afd988,4933
14250000,13416068,4038639,24,14222021,27878,101,0,30a5360cd986fed1,5162
14500000,13651159,4109409,24,14471518,28378,104,0,1a319777d18fd740,5382
14750000,13886352,4180209,24,14721026,28867,107,0,c8ac2412edc065b1,5606
15000000,14121753,4251072,24,14970551,29341,108,0,4e83c31fb28fc297,5831
15250000,14356960,4321876,24,15220078,29814,108,0,3901c595107fb629,6059
15500000,14592117,4392665,24,15469626,30266,108,0,b8ab708b90900eb7,6293
15750000,14827342,4463475,24,15719167,30723,110,0,89182d7a48ac7c2f,6527
16000000,15062819,4534361,24,15968667,31220,113,0,53326c8c75606939,6767
16250000,15298080,4605181,24,16218194,31693,113,0,f3df1d3702bbfbe1,7013
16500000,15533280,4675984,24,16467691,32193,116,0,84d8d8f0fdd0ee0e,7262
16750000,15768833,4746892,24,16717217,32664,119,0,001a5c8765ced47c,7508
17000000,16003804,4817626,24,16966714,33165,121,0,d8fd2b743d156161,7760
17250000,16238884,4888392,24,17216246,33632,122,0,d64e30753c738b25,8017
17500000,16474482,4959314,24,17465743,34133,124,0,b29eb0899b1b77db,8273
17750000,16709811,5030155,24,17715256,34617,127,0,d133cf5f1271c5ca,8540
18000000,16944925,5100931,24,17964781,35091,128,0,d0ea936f84c188c9,8807
18250000,17180337,5171797,24,18214269,35601,130,0,b7655199774e9dee,9082
18500000,17415780,5242673,24,18463806,36062,132,0,85ff91201c09d6fa,9364
18750000,17650808,5313423,24,18713320,36547,133,0,867da5be8a9e183a,9644
19000000,17885820,5384169,24,18962829,37037,134,0,102b4b27f55805c1,9930
19250000,18120858,5454922,24,19212329,37536,135,0,40307d16e057cc40,10229
19500000,18355851,5525662,24,19461810,38054,136,0,f88c274194220310,10536
19750000,18591183,5596504,24,19711359,38503,138,0,a333408a8e7be624,10832
20000000,18826755,5667418,24,19960869,38992,139,0,1205266ab51477b6,11137
20250000,19062163,5738283,24,20210359,39501,140,0,35487c5922096bb7,11464
20500000,19297471,5809118,24,20459870,39990,140,0,b9dc6600850758a1,11775
20750000,19532892,5879987,24,20709426,40434,140,0,f0d77aa06cc99bdc,12086
21000000,19768221,5950828,24,20958977,40882,141,0,045eca3faab93b53,12410
21250000,20003764,6021733,24,21208467,41392,141,0,354265557c2a4860,12737
21500000,20239068,6092567,24,21457977,41880,143,0,3fec4b86a199b8a0,13063
21750000,20474092,6163316,24,21707495,42360,145,0,f733ef48b5fa99da,13394
22000000,20709221,6234097,24,21956998,42855,147,0,50237a45a0441391,13726
22250000,20944752,6304999,24,22206485,43366,149,0,db025de8aff1365a,14087
22500000,21179708,6375728,24,22456005,43845,150,0,d50e9e862f4c7fc5,14445
22750000,21415317,6446653,24,22705543,44306,151,0,b8708cc3b0c19577,14815
23000000,21650711,6517514,24,22955040,44808,152,0,e9d4f845ba246eb1,15184
23250000,21885808,6588285,25,23204531,45314,154,1,00f1dc201ed33796,15550
